file,sweep,set,factor,value,n_prc,n_tsk,n_frq,u_mand_factor,u_opt_factor,rho,xi,U_M,U_O,B,H,J,e_mand_fmax,e_full_fmax,e_mand_min,feasible,donate_ok,seed,redraws
xi\set02\xi_0.8.py,xi,2,xi,0.8,2,5,5,0.5,0.5,0.7,0.8,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0
xi\set02\xi_0.9.py,xi,2,xi,0.9,2,5,5,0.5,0.5,0.7,0.9,1.0,0.5,48.300001,40,11,46.000001,69.000001,21.400001,1,1,1002,0
xi\set03\xi_0.3.py,xi,3,xi,0.3,2,5,5,0.5,0.5,0.7,0.3,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set03\xi_0.4.py,xi,3,xi,0.4,2,5,5,0.5,0.5,0.7,0.4,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set03\xi_0.5.py,xi,3,xi,0.5,2,5,5,0.5,0.5,0.7,0.5,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set03\xi_0.6.py,xi,3,xi,0.6,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set03\xi_0.7.py,xi,3,xi,0.7,2,5,5,0.5,0.5,0.7,0.7,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set03\xi_0.8.py,xi,3,xi,0.8,2,5,5,0.5,0.5,0.7,0.8,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set03\xi_0.9.py,xi,3,xi,0.9,2,5,5,0.5,0.5,0.7,0.9,1.0,0.5,48.299999,40,10,46.0,68.999999,21.433333,1,1,1003,0
xi\set04\xi_0.3.py,xi,4,xi,0.3,2,5,5,0.5,0.5,0.7,0.3,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
xi\set04\xi_0.4.py,xi,4,xi,0.4,2,5,5,0.5,0.5,0.7,0.4,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
xi\set04\xi_0.5.py,xi,4,xi,0.5,2,5,5,0.5,0.5,0.7,0.5,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
xi\set04\xi_0.6.py,xi,4,xi,0.6,2,5,5,0.5,0.5,0.7,0.6,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
xi\set04\xi_0.7.py,xi,4,xi,0.7,2,5,5,0.5,0.5,0.7,0.7,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
xi\set04\xi_0.8.py,xi,4,xi,0.8,2,5,5,0.5,0.5,0.7,0.8,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
xi\set04\xi_0.9.py,xi,4,xi,0.9,2,5,5,0.5,0.5,0.7,0.9,1.0,0.5,48.3,40,13,46.000002,69.0,22.042858,1,1,1004,0
